,Week,Month,Year
0,0.16005687264570412,0.16005687264570412,0.184554724889023
1,0.12541551104583307,0.12541551104583307,0.14413579105247412
2,0.1534080603225573,0.1534080603225573,0.17689717357892018
3,0.16239025704037505,0.16239025704037505,0.1871812109815514
4,0.21127435514331022,0.21127435514331022,0.24405900276438572
5,0.20107605953332836,0.20107605953332836,0.2319414774327078
6,0.20400674911656688,0.20400674911656688,0.23543967463515228
7,0.23948975072663622,0.23948975072663622,0.27646853945318794
8,0.10142381945780085,0.10142381945780085,0.11550545080190427
9,0.1161499688537485,0.1161499688537485,0.13317996214363884
10,0.11277137490626156,0.11277137490626156,0.13058245330053275
11,0.10874977600297261,0.10874977600297261,0.1258756984610739
12,0.20254975485215088,0.20254975485215088,0.23531871306753316
13,0.2029426486243127,0.2029426486243127,0.23590719710905486
14,0.2193534672866772,0.2193534672866772,0.25488327474402855
